Parça_Kodu,r_optimal,Q_optimal,SS_optimal,grid_r,grid_Q,ml_total_cost,ml_holding_cost,ml_ordering_cost,ml_stockout_cost,ml_service_level,ml_num_orders,ml_avg_inventory,r_eoq,Q_eoq,SS_eoq,eoq_total_cost,eoq_holding_cost,eoq_ordering_cost,eoq_stockout_cost,eoq_service_level,eoq_num_orders,eoq_avg_inventory,abs_saving,pct_saving,ABC,XYZ,Segment,Model_Grubu,champion,WAPE,sMAPE
Part-1750,16174,1743,414.3,17192,2364,951849.4764608914,451359.250537671,30260.0,470230.2259232203,0.9696288104460642,178,2708.953018994818,29729,760,16193.5,2619796.866842899,2548046.866842899,71750.0,0.0,1.0,425,15292.783396489318,1667947.3903820077,63.66705035387117,B,Y,BY,Global_ML,RandomForest,15.757349558617939,15.453207550721423
Part-1751,537,83,23.0,561,77,21744.750962234903,7163.885072840542,2650.0,11930.865889394361,0.9674492710314022,124,101.77650113996826,1372,75,922.8,67436.44661771036,64410.19661771037,3026.25,0.0,1.0,141,915.0683438991415,45691.69565547546,67.75519462716734,C,Z,CZ,Aralıklı_Croston,RandomForest,74.81970609611083,110.22075784613952
Part-1752,14,50,0.0,16,39,3374.9286482514385,1796.991633785496,1455.0,122.93701446594142,0.9944644183639382,17,25.849597420285864,35,36,25.4,4786.765130491976,2766.7651304919773,2020.0,0.0,1.0,23,39.79972050790274,1411.8364822405379,29.494584416667035,C,Z,CZ,Düşük_Hacim_Basit,UstelDuzeltme,69.66298114417515,82.627394046321
Part-1753,227,132,32.6,265,186,7517.466189959113,3904.4021201692835,1927.5,1685.5640697898302,0.977253358969237,30,108.00559115267728,508,119,316.0,15904.672509694628,13680.922509694628,2223.75,0.0,1.0,34,378.4487554548998,8387.206319735516,52.734228350964976,C,Z,CZ,Aralıklı_Croston,CatBoost,89.73602906108933,120.01619946870076
Part-1754,1387,265,46.9,1462,201,19794.417712738054,5352.262629802206,8660.0,5782.155082935844,0.9729183718462464,102,281.17120709629353,2470,486,1203.8,32127.273602823057,27272.273602823065,4855.0,0.0,1.0,57,1432.6983968366144,12332.855890085004,38.38749606502963,C,Y,CY,Global_ML,XGBoost,55.920222871822766,74.16773139087456
Part-1755,0,1,0.0,0,1,229.2566057951404,44.62744946512766,148.75,35.87915633001275,0.8777980081404394,7,0.4455384651069201,106,26,78.8,12749.676487993062,12749.676487993062,0.0,0.0,1.0,0,127.28648760241143,12520.41988219792,98.20186334915209,C,Z,CZ,Aralıklı_Croston,HareketliOrtalama,100.0,66.66666666666666
Part-1756,25932,4168,114.3,28165,3873,1588543.9278452636,413356.43221139035,15825.0,1159362.4956338736,0.9492035771743252,123,4228.0009513635605,40727,1185,14949.6,1640647.976062941,1581765.476062941,58882.5,0.0,1.0,457,16179.029564993096,52104.04821767728,3.175821320470662,B,X,BX,Global_ML,Croston-SBA,30.532394510784293,30.036719655189486
Part-1757,57030,9085,3936.4,57920,11377,888917.1089982006,449505.50459608913,41730.0,397681.6044021115,0.9799687605259482,165,13932.452596025478,75092,4844,25348.2,1020446.260798773,933263.209245479,79860.0,7323.05155329413,0.9996348291544763,319,28926.554379152687,131529.1518005724,12.889375644104526,A,X,AX,Global_ML,XGBoost,12.007465995689522,11.854671577565725
Part-1758,413,68,49.0,397,55,13673.977247520723,6395.569334519612,4462.5,2815.9079130011087,0.9854167217091427,107,117.09893905391041,1137,111,756.6,49552.60045928373,46762.60045928373,2790.0,0.0,1.0,67,856.1944394267648,35878.623211763006,72.40512683334082,C,Z,CZ,Aralıklı_Croston,CatBoost,152.08506700471278,142.32187826277357
Part-1759,573,434,0.0,631,552,5985.949378016941,2529.7463690316245,2345.0,1111.2030089853158,0.9686542947617189,27,247.86854487866194,974,453,384.7,8810.63699541421,6500.636995414211,2310.0,0.0,1.0,26,636.9426803266913,2824.6876173972687,32.05997045239148,C,X,CX,Global_ML,Croston-SBA,18.1897905908033,17.42647417251357
Part-176,8981,2796,1192.9,8496,3338,3137366.0905823633,2461313.445002022,27050.0,649002.6455803419,0.9946900427320792,161,3558.5186028586295,17448,474,9802.7,7620794.551731956,7459794.551731957,161000.0,0.0,1.0,963,10785.224344240236,4483428.461149593,58.83150937497268,B,Y,BY,Global_ML,RandomForest,13.880587417190144,14.162645358781608
Part-1760,19,6,0.6,20,3,14826.79684561509,6044.932550119054,3975.0,4806.864295496036,0.963714120718269,62,4.720544217365683,81,8,53.9,88937.76640962505,85836.51640962505,3101.25,0.0,1.0,48,67.03053637352662,74110.96956400997,83.32902045535236,C,Z,CZ,Aralıklı_Croston,HareketliOrtalama,247.55555555555554,182.034632034632
