Parça_Kodu,champion,votes,MAE,RMSE,WAPE,sMAPE
Part-16,RandomForest,3,32797.05414153277,38727.412234922354,18.876581808669098,20.047816112256598
Part-160,LightGBM,3,8092.731405389629,8681.207910641708,21.69332596125549,23.75800592371484
Part-1600,Croston-SBA,3,10657.333333333334,14589.808061810005,39.80181256846927,51.62211768959649
Part-1601,CatBoost,2,119.85576847775428,142.79136182832997,83.91302343833439,104.11904344081952
Part-1602,RandomForest,4,706.8703140664546,756.1256494035622,162.93591565112285,143.80919370938085
Part-1603,HareketliOrtalama,3,388.8888888888889,477.53813111275906,38.45308723357504,54.387986222534046
Part-1604,Croston-SBA,3,453.6380213171878,454.21552388740963,147.52455977794725,157.04287083207112
Part-1605,Croston-SBA,4,171.98392996430266,187.4407312232902,515.951789892908,167.10395894600154
Part-1606,LightGBM,3,1397.8354832992354,1413.4012107518106,153.80548138264098,153.29630493402695
Part-1607,LightGBM,4,646.9400503513158,787.2303871942129,62.54657270557355,82.38537805541493
Part-1608,CatBoost,2,5316.516742168961,6596.076629354284,34.28573012716578,41.67362439134743
Part-1609,CatBoost,3,1213.3715877717043,1263.3158890391494,168.36793539847886,148.4578716246827
Part-161,CatBoost,2,14481.803317135773,15649.767506508126,99.63629472389532,122.97229575429422
Part-1610,Croston-SBA,2,1015.1666666666666,1057.5388840115065,100.0,138.3048559376318
Part-1611,UstelDuzeltme,4,2426.8333333333335,3202.4217248726363,6.869400714255386,6.977983939673392
Part-1612,HareketliOrtalama,3,404.77777777777777,445.7297387431088,29.197723811813738,32.723240097558865
Part-1613,XGBoost,3,10696.435709635416,12535.424367934744,64.03261988447589,87.51065598813929
Part-1614,RandomForest,3,477.736489932628,491.0293533849118,96.64258056627672,122.93268844480572
Part-1615,CatBoost,3,1073.3837940305839,1078.8206366675763,153.23109122492275,153.95159905064506
Part-1616,CatBoost,4,1134.397755466979,1316.6129176592929,48.87187860129155,59.92695860614414
Part-1617,UstelDuzeltme,3,98.77801832807671,129.7374879718495,62.91593524081319,81.53941607224286
Part-1618,XGBoost,3,12200.331705729166,12440.716858382733,96.92931798357411,132.786069866322
Part-1619,XGBoost,4,335.2416178385417,455.83842097081794,13.595469462867523,13.832320777270743
Part-162,RandomForest,3,5526.323295044749,6075.070963865773,28.743511304173524,31.943067125342484
Part-1620,HareketliOrtalama,2,836.5,1134.853906407732,39.96973799474397,51.37180797966106
Part-1621,XGBoost,4,289.63026428222656,318.7564066934298,46.3284880216838,65.30997205898709
Part-1622,HareketliOrtalama,4,65.66666666666667,71.95214459007536,25.256410256410255,25.469506131109164
Part-1623,UstelDuzeltme,3,1057.1666666666667,1473.2035009979707,43.78408228066542,54.02511377596664
Part-1624,HareketliOrtalama,3,724.2777777777778,738.7905657221131,157.3946637691658,151.00675675942733
Part-1625,UstelDuzeltme,3,1514.5328067196122,1622.1193556485086,73.99997426968788,106.88333859658022
Part-1626,CatBoost,4,966.7221884796123,1104.484507651561,67.30486343557291,97.88305685766193
Part-1627,CatBoost,3,638.8124915832483,757.4465596843412,64.11634241384225,86.6266722053583
Part-1628,CatBoost,3,830.4370929469102,990.0901954679914,57.09433433804815,79.9002304031147
Part-1629,CatBoost,3,1720.286721778373,1765.3375976789764,95.68666293381142,130.8162670515787
Part-163,HareketliOrtalama,2,4452.222222222222,5546.810665198115,43.00694422084124,57.54419026276357
Part-1630,CatBoost,2,8814.712057020784,13065.54809992965,29.552134116047018,44.505032853326284
Part-1631,XGBoost,3,293.78745524088544,326.2208703437377,43.214629356345,52.681879333240964
Part-1632,RandomForest,4,661.8856244691824,761.4054946321886,73.01551290338472,94.0269438849849
Part-1633,CatBoost,3,897.6940529582926,928.5187807501584,106.5301486896708,124.44316857931268
Part-1634,Croston-SBA,3,709.5,972.135802881627,37.10450623202301,49.07485486132364
Part-1635,CatBoost,4,4523.224750343072,5959.309515764951,16.49828478282923,17.45590585178598
Part-1636,LightGBM,3,358.20179429859445,420.4432612214041,45.3228757020575,47.49032833273058
Part-1637,RandomForest,3,2422.8297029033797,3311.798705614365,24.151816277488418,24.409398366600314
Part-1638,Croston-SBA,2,494.7459370043232,527.3485425464714,132.69895494081086,167.14308061917978
Part-1639,XGBoost,3,9144.9541015625,11678.43538623837,27.028888400905892,28.827909128494106
Part-164,Croston-SBA,3,8216.666666666666,10158.783445111989,66.08224760066484,88.09947943133874
Part-1640,UstelDuzeltme,4,4406.302296618756,5817.980943655408,9.994485861287648,10.001404382429973
Part-1641,XGBoost,3,471.6324513753255,547.0085032580116,74.46828179610404,104.01875096554892
Part-1642,HareketliOrtalama,3,72.0,86.39830245245949,46.25267665952891,59.93326977624797
Part-1643,RandomForest,2,1489.4537399962403,1549.5490813517167,95.53904682464659,125.0495963242524
Part-1644,Croston-SBA,3,9120.546283192192,12144.161380511301,25.13816789891734,25.210708109898643
Part-1645,CatBoost,4,57.62461837137047,89.46261032446922,36.509789886823945,70.564744198243
Part-1646,CatBoost,3,906.8638203581562,1037.6149234421189,63.46883147263428,87.14161291922127
Part-1647,LightGBM,3,35477.01004659426,42478.8463335823,45.166313436575656,58.19284738750453
Part-1648,CatBoost,4,593.6056404855511,740.9454841093386,33.965609793184306,39.09549809100177
Part-1649,UstelDuzeltme,3,11407.851485561265,15520.181788015594,38.67199391695062,49.751152706303124
Part-165,HareketliOrtalama,4,2336.2777777777774,2985.3988101350133,10.013691943184387,10.166078548034141
Part-1650,LightGBM,2,11952.368747515924,14934.741120340377,40.12073695920219,55.88718777208651
Part-1651,Croston-SBA,3,10304.546225500613,13755.747855576248,39.55781168616195,53.81301478760201
Part-1652,Croston-SBA,3,81.071554217325,86.04540810976805,68.31872546403793,95.97746061755849
Part-1653,UstelDuzeltme,4,1235.8949697234784,1280.937400941324,70.22130509792491,99.96125332293525
Part-1654,XGBoost,3,10343.922526041666,13817.004699216544,23.66542937619636,26.620908255914255
Part-1655,XGBoost,3,1110.5128377278645,1133.7315189152775,99.4340699353408,127.53569565293688
Part-1656,CatBoost,4,9392.132167550624,12108.64904427732,5.4714530532111265,6.133085411630777
Part-1657,LightGBM,3,611.6369055142487,675.1904198228189,74.83322661267317,104.62621467160898
Part-1658,XGBoost,2,189.82500712076822,234.36946026504,61.59816347888639,83.46042020772758
Part-1659,RandomForest,3,1142.214725063636,1591.0892276209572,15.363017217112729,15.579896385430361
Part-166,LightGBM,3,21631.093645540535,28092.71072501458,77.7402451486641,88.60274194872407
Part-1660,RandomForest,2,227.68599663053814,280.346038908554,63.33407416704816,83.04838492769194
Part-1661,CatBoost,3,1585.9149505667792,1635.8034592770787,68.66919032547216,107.7284770525095
Part-1662,LightGBM,4,23200.84727340208,28311.06862121175,16.871748324450838,18.662823773625057
Part-1663,Croston-SBA,3,369.3333333333333,689.0400462013376,28.06484295845998,39.87951345609152
Part-1664,CatBoost,2,464.95995196824606,498.32672263400144,78.94056909477862,109.6944819957368
Part-1665,HareketliOrtalama,3,364.0,583.0817552739353,30.631136044880787,42.89140048993201
Part-1666,CatBoost,3,287.13146889957926,308.56431959014594,63.68905040286417,96.34996911957785
Part-1667,CatBoost,4,58.46806080453704,71.50682380972178,10.382017307701162,11.69032862871167
Part-1668,CatBoost,3,15499.681896853652,16015.744780245905,96.06546156902074,130.05341053341922
Part-1669,UstelDuzeltme,3,364.44172605630246,555.0369023928702,33.71858683635797,45.81827055262127
Part-167,HareketliOrtalama,3,14928.277777777776,15827.695289165338,133.98002582781126,166.07369578483434
Part-1670,Croston-SBA,3,52.166666666666664,74.6310171352978,12.80163599182004,12.5097175800461
Part-1671,UstelDuzeltme,3,3822.110643578213,4803.456901991341,23.333296563463954,25.959647692393524
Part-1672,LightGBM,3,5467.748087144105,6361.876702640925,14.786356209881745,15.872619305055846
Part-1673,CatBoost,4,650.6736903059218,956.4042005075254,32.336967960204845,44.97923646011275
Part-1674,Croston-SBA,2,590.8333333333334,635.1413908688804,100.0,117.99074310106172
Part-1675,RandomForest,4,601.3033646716029,800.3153168644617,45.63395127788537,57.18232679104512
Part-1676,CatBoost,3,20326.248950049787,20751.823097158795,88.29565730814247,133.5197304536304
Part-1677,XGBoost,4,31350.388671875,33156.551052147624,68.93351609024279,106.86290866847716
Part-1678,CatBoost,3,1614.4917360038191,1836.257358380448,70.75931640630326,102.44938088772358
Part-1679,Croston-SBA,3,404.83825489707993,598.9913682348891,32.79813029141885,46.04149308172208
Part-168,CatBoost,4,6862.064041185061,7926.096815372819,43.3969098458064,64.64451051301997
Part-1680,CatBoost,4,3971.2351290665283,4467.984137187922,25.757970676611176,30.483273045296112
Part-1681,CatBoost,2,3743.457102648185,4395.257783013658,16.603764639356207,17.23796637431024
Part-1682,RandomForest,3,550.8803931574176,563.8685122905138,93.44875201991817,133.03407446796237
Part-1683,RandomForest,3,75.4271387249584,100.61257878173966,41.06740765424232,53.41935664615315
Part-1684,CatBoost,3,1863.6549059406643,1936.2889825466839,99.36843006881708,135.7072737762699
Part-1685,CatBoost,4,6437.308535015606,7165.371600109107,30.06238467772448,31.656209396890787
Part-1686,RandomForest,3,528.0897292911592,560.7560160861751,89.88761349636752,107.11056826957473
Part-1687,UstelDuzeltme,3,4105.75243918825,5188.727729345742,14.173406652817762,14.394413054873684
Part-1688,XGBoost,3,11499.71728515625,12166.63664647826,97.42495793812303,120.54697920018566
Part-1689,XGBoost,4,9967.41015625,12264.207442920751,10.09683474968302,9.596801141813776
Part-169,RandomForest,3,3257.3118084088364,3295.218300331312,88.17446808235063,133.64762984220943
Part-1690,CatBoost,3,924.0218524624337,960.5911172997282,93.55604311128252,127.64040575651403
Part-1691,Croston-SBA,3,8296.166666666666,8768.05907547442,100.0,120.86396770768543
Part-1692,HareketliOrtalama,4,706.6666666666666,737.6595119399976,34.25985778926955,35.097518248825985
Part-1693,Croston-SBA,4,3809.3026504608133,4507.67753198383,12.532455957167388,12.432754108640449
Part-1694,UstelDuzeltme,3,613.5923503208629,637.9730141849095,155.20885758537847,139.07395455484976
Part-1695,RandomForest,3,1570.5116235777805,1730.7044574530296,98.65022761166962,120.21510059934872
Part-1696,Croston-SBA,3,49.11097230468397,55.03360335612458,65.04764543666751,89.49554501936542
Part-1697,RandomForest,4,78499.19983374071,80039.22456116648,65.1248375668289,98.53860348789928
Part-1698,HareketliOrtalama,4,1351.6666666666667,1583.2076090435307,51.19303118293145,70.14456931091065
Part-1699,Croston-SBA,3,4508.439431919425,5681.084027755522,13.55799305903054,13.603061404849026
Part-17,LightGBM,4,19019.053979536828,21071.912953449784,17.638380359589373,18.493482447046574
Part-170,UstelDuzeltme,3,8201.66752301626,12882.613565496486,14.482348117264795,13.82859646314308
Part-1700,RandomForest,3,735.7451621504291,758.6216758919493,97.12807421127778,126.90572366680112
Part-1701,UstelDuzeltme,4,7301.4342756869055,10615.203625493907,12.084799220468796,12.479138378407201
Part-1702,UstelDuzeltme,3,404.73358548819215,491.5862647606781,61.09186196048183,82.74110217860206
Part-1703,XGBoost,4,49.625325520833336,56.8190481123615,11.403751555917273,11.636383842528637
Part-1704,CatBoost,2,1142.1100521090348,1330.8807234259473,92.57849652329382,116.04826784247177
